livro_id,autor_id
24,2109
2197,2728
4348,1351
612,3388
5749,4048
11281,4366
14558,16
3875,1488
238,1931
937,2787
13215,1602
1776,4743
5568,2288
697,2256
7211,674
652,1259
471,1637
9168,3880
4230,4543
14779,1045
10499,1111
13864,870
14906,3371
3883,3068
4674,2804
10924,3723
6333,4651
12984,72
9881,3461
9519,2884
10240,278
5943,4188
2225,4130
10087,275
13886,3651
1732,3593
4744,2816
63,3080
6955,4468
2827,1732
13888,2770
14441,1952
6812,2055
14993,738
13195,348
14549,3722
8467,2747
6056,1170
9970,1912
6806,4907
13890,2797
2222,1083
2447,4020
3655,2861
8315,3653
2897,2715
11185,3483
365,471
4447,1089
6591,2974
13993,4393
13798,4986
4003,3553
11906,1870
5656,2615
12636,4304
1427,4039
13295,1726
1735,270
7394,2626
3644,2938
13863,349
4780,486
5369,3206
5466,404
11416,713
11689,2881
1869,2713
99,2532
758,4704
6949,3809
6420,3443
5737,2548
7848,1661
363,2711
4269,1234
14628,4793
10512,3661
9105,1956
10791,1005
5564,2351
3208,2207
13542,3859
5306,2052
784,3245
1931,3493
5783,3273
4359,3367
12972,2878
2935,339
11453,2262
9293,523
4784,2916
10296,1502
7839,1413
12607,1821
3358,1938
101,744
6557,2014
8029,1954
10411,2315
13688,3816
13622,526
9271,690
1726,702
9236,4992
4267,881
8623,4229
13985,2480
3190,2320
1584,3985
6959,2424
13619,3821
6489,4024
1276,1316
3474,2901
7419,4835
13612,3906
8667,2118
8678,2603
13650,3809
12871,1131
14850,2745
14067,4879
2955,4522
14011,1885
7377,3349
2274,261
13154,362
7970,4114
3231,1689
9214,1357
3056,591
5942,4118
11156,4129
338,2611
4656,2774
8187,1147
2222,781
4170,3872
3721,4269
11440,4432
6136,4040
8545,602
9614,1405
9071,1778
12608,2235
10153,3201
7116,404
14028,4494
13748,4496
589,4470
2032,4064
3794,3283
2630,413
117,189
1823,3161
12250,4932
10266,4125
14990,2424
9024,4899
11757,578
9122,349
11164,74
4156,2815
6347,1465
4585,2933
11221,3835
2369,4537
2662,4420
4191,1136
5183,1624
7442,755
5941,3318
8870,2408
4992,1065
10245,256
14169,554
2574,1350
12087,3728
12593,4169
13249,2481
7181,3418
6404,2414
2928,658
3963,3246
11444,1320
14794,1720
11488,2520
7960,2939
12324,2644
9243,413
14836,2364
4993,2611
3582,4439
5746,1363
7134,2957
7846,4866
10981,1986
5935,4428
9270,3116
9379,4870
10443,2133
9758,3967
2246,1367
13926,2541
9670,4745
9247,1996
9988,1218
8995,3401
14315,4563
10388,1175
8149,3907
3056,910
5603,3050
10456,2525
5308,2403
9664,4094
618,3481
10945,4509
7174,1154
2838,4307
14960,467
230,4025
6049,1996
1644,4784
9402,2918
9771,4017
2567,1540
13751,3867
12903,1185
13569,21
10048,35
9057,640
10671,2039
9899,4312
11536,3853
6295,1492
11067,1107
4802,2582
7294,3149
12148,337
5010,3219
11628,3161
9251,1208
10723,4272
1019,4620
2185,2064
10305,3530
11490,1700
13630,1509
3757,574
13620,448
5436,1534
6463,3262
9026,3946
528,3948
4299,590
12330,3631
9276,2437
13469,4052
7784,1457
12844,1847
8600,318
10297,2057
9623,3404
12042,2309
12183,4592
12460,4901
14545,1364
10451,4037
5199,1787
6384,3249
4055,1355
8040,2849
11520,2675
12280,2155
13420,4674
313,854
8284,3139
13305,2821
5807,4332
4376,2900
6574,4313
6625,232
11043,4514
4248,3195
9286,1440
4883,2828
7726,4573
5165,547
8071,307
14063,3737
380,1084
6065,1122
8687,1191
7660,1440
1007,952
